cement,cao,al2o3,sio2,coarge aggregate,fine aggregate,water cement ratio,compressive strength
350,91.6125,0.5775,0.7875,500,1050,0.27,60.1
350,91.6125,0.5775,0.7875,500,1050,0.31,58.7
350,91.6125,0.5775,0.7875,500,1050,0.34,49.5
350,91.6125,0.5775,0.7875,500,1050,0.37,43
333,91.655,0.6982,16.1045,500,1050,0.3,52.9
326,91.6725,0.7479,22.4115,500,1050,0.3,54.3
319,91.69,0.7976,28.7185,500,1050,0.3,58.4
313,91.705,0.8402,34.1245,500,1050,0.3,63.3
307,91.72,0.8828,39.5305,500,1050,0.3,59.1
301,91.735,0.9254,44.9365,500,1050,0.3,65.5
500,0.6125,1.5475,23.545,750,875,0.38,38
500,0.6125,1.5475,23.545,750,875,0.38,37.8
500,0.6125,1.5475,23.545,750,875,0.38,22.2
500,1.225,3.095,47.09,750,875,0.36,36.2
500,1.225,3.095,47.09,750,875,0.36,41.4
500,1.225,3.095,47.09,750,875,0.36,48.5
360,2.016,21.96,52.695,855,813,0.44,68
270,4.032,43.92,105.39,842,801,0.44,60.3
180,6.048,65.88,158.085,829,788,0.44,42.5
360,30.708,9.351,32.769,866,824,0.44,72.6
270,61.416,18.702,65.538,863,821,0.44,74.9
180,92.124,28.053,98.307,861,819,0.44,65.7
428,0.05625,0.15975,21.6,865,823,0.44,71.2
405,0.1125,0.3195,43.2,861,819,0.44,76.1
383,0.16875,0.47925,64.8,858,816,0.44,74.8
360,1.56825,16.62975,61.12125,855,813,0.44,67.2
270,3.1365,33.2595,122.2425,841,801,0.44,57.6
180,4.70475,49.88925,183.36375,828,788,0.44,44.9
360,23.08725,7.173,46.17675,863,821,0.44,68
270,46.1745,14.346,92.3535,857,816,0.44,68.2
180,69.26175,21.519,138.53025,852,810,0.44,70.7
360,16.362,15.6555,42.732,861,819,0.44,78
270,32.724,31.311,85.464,853,811,0.44,69.2
180,49.086,46.9665,128.196,845,803,0.44,60.6
360,12.34593,11.91877,53.69648,859,817,0.44,76
270,24.6555,23.80275,107.298,849,808,0.44,66.8
180,37.00143,35.72152,160.99448,840,799,0.44,55.2
400,2.45,6.19,94.18,700,850,0.5,42.9
350,3.675,9.285,141.27,700,850,0.5,40.9
300,4.9,12.38,188.36,700,850,0.5,33.5
465,1.904,23.97,49.7675,590,910,0.41,35.19
440,2.464,31.02,64.405,590,910,0.42,33.15
415,3.024,38.07,79.0425,590,910,0.42,31.47
385,3.696,46.53,96.6075,590,910,0.43,30.66
355,4.368,54.99,114.1725,590,910,0.44,29.62
300,65.4375,0.4125,0.5625,733.6,1072.7,0.42,40.4
350,23.5575,0.1485,0.2025,684.3,1080.1,0.53,36.9
350,47.115,0.297,0.405,726.4,996.5,0.48,38.7
440,1.91675,23.46025,74.70375,916,713,0.32,79.2
330,3.8335,46.9205,149.4075,898,699,0.32,67.2
220,5.75025,70.38075,224.11125,880,685,0.32,59.9
440,28.21775,8.767,56.43825,927,721,0.32,79.6
